YEAR,MES,DIA,HORA,MINUTO,Temperatura,Humedad_Relativa,Presion_hPa
2008,1,7,21,0,25.4,96.3,1010.942
2008,1,7,22,0,25.5,96.4,1011.287
2008,1,7,23,0,25.5,96.1,1011.776
2008,1,8,0,0,25.5,95.8,1012.626
2008,1,8,1,0,25.6,95.7,1013.267
2008,1,8,2,0,25.6,95.6,1013.856
2008,1,8,3,0,25.5,95.5,1014.057
2008,1,8,4,0,25.4,95.6,1013.902
2008,1,8,5,0,25.4,95.5,1013.744
2008,1,8,6,0,25.2,95.7,1013.614
2008,1,8,7,0,25.1,95.8,1012.968
2008,1,8,8,0,25.1,95.7,1012.642
2008,1,8,9,0,25.1,95.6,1012.569
2008,1,8,10,0,25.4,95,1012.526
2008,1,8,11,0,25.4,94.6,1012.777
2008,1,8,12,0,25.5,94.4,1013.666
2008,1,8,13,0,25.6,94.3,1014.501
2008,1,8,14,0,25.6,94.7,1014.776
2008,1,8,15,0,25.6,94.9,1014.644
2008,1,8,16,0,25.6,94.7,1014.449
2008,1,8,17,0,25.6,94.7,1013.921
2008,1,8,18,0,25.6,94.9,1012.633
2008,1,8,19,0,25.5,95,1011.762
2008,1,8,20,0,25.5,95.2,1011.398
2008,1,8,21,0,25.5,95.3,1010.781
2008,1,8,22,0,25.5,95.3,1010.924
2008,1,8,23,0,25.5,95.3,1011.076
2008,1,9,0,0,25.5,95.3,1011.852
2008,1,9,1,0,25.5,95.4,1011.944
2008,1,9,2,0,25.6,95.2,1012.742
2008,1,9,3,0,25.6,95,1012.874
2008,1,9,4,0,25.4,95.3,1012.744
2008,1,9,5,0,25.3,95.3,1012.648
2008,1,9,6,0,25.2,95.3,1012.128
2008,1,9,7,0,25.1,95.5,1011.357
2008,1,9,8,0,24.9,95.6,1011.093
2008,1,9,9,0,24.7,96,1011.233
2008,1,9,10,0,24.9,95.7,1011.273
2008,1,9,11,0,24.8,95.8,1011.412
2008,1,9,12,0,24.8,95.8,1012.287
2008,1,9,13,0,25,95.6,1013.003
2008,1,9,14,0,24.6,96.6,1013.266
2008,1,9,15,0,24.8,96.5,1013.406
2008,1,9,16,0,25,96.1,1013.238
2008,1,9,17,0,25.2,95.8,1012.591
2008,1,9,18,0,25.2,95.8,1011.615
2008,1,9,19,0,25.2,95.8,1010.642
2008,1,9,20,0,25.2,96.1,1010.172
2008,1,9,21,0,25.2,96,1009.85
2008,1,9,22,0,25.2,95.7,1009.826
2008,1,9,23,0,25.2,95.5,1010.348
2008,1,10,0,0,25.3,95.2,1010.374
2008,1,10,1,0,25.3,95.2,1011.094
2008,1,10,2,0,25.3,95.2,1012.028
2008,1,10,3,0,25.2,95.3,1012.261
2008,1,10,4,0,25.1,95.5,1012.167
2008,1,10,5,0,24.9,95.9,1012.155
2008,1,10,6,0,24.8,96,1011.474
2008,1,10,7,0,24.6,96.3,1010.812
2008,1,10,8,0,24.5,96.4,1010.567
2008,1,10,9,0,24.5,96.5,1010.391
2008,1,10,10,0,25.1,94.9,1010.95
2008,1,10,11,0,25.1,94.9,1011.011
2008,1,10,12,0,25.1,94.8,1011.846
2008,1,10,13,0,25.3,94.6,1012.986
2008,1,10,14,0,25.3,94.6,1013.571
2008,1,10,15,0,25.4,94.6,1013.564
2008,1,10,16,0,25.4,94.5,1013.236
2008,1,10,17,0,25.5,94.5,1012.231
2008,1,10,18,0,25.5,94.5,1011.182
2008,1,10,19,0,25.4,94.7,1010.233
2008,1,10,20,0,25.3,95,1009.565
2008,1,10,21,0,25.3,95.1,1009.462
2008,1,10,22,0,25.3,94.9,1009.999
2008,1,10,23,0,25.3,94.8,1010.444
2008,1,11,0,0,25.3,94.6,1010.969
2008,1,11,1,0,25.4,94.5,1011.243
2008,1,11,2,0,25.4,94.5,1011.989
2008,1,11,3,0,25.3,94.6,1012.151
2008,1,11,4,0,25.2,94.8,1012.118
2008,1,11,5,0,25.1,95,1011.848
2008,1,11,6,0,25,95.1,1011.249
2008,1,11,7,0,24.9,95.1,1010.659
2008,1,11,8,0,24.9,95,1010.384
2008,1,11,9,0,24.9,95,1010.568
2008,1,11,10,0,24.9,94.8,1010.709
2008,1,11,11,0,25,94.7,1011.254
2008,1,11,12,0,25.1,94.5,1011.815
2008,1,11,13,0,25.1,94.3,1012.741
2008,1,11,14,0,25.2,94.5,1013.489
2008,1,11,15,0,25.3,94.4,1013.445
2008,1,11,16,0,25.4,94.2,1013.48
2008,1,11,17,0,25.4,94.3,1012.526
2008,1,11,18,0,25.4,94.5,1011.481
2008,1,11,19,0,25.3,94.7,1010.642
2008,1,11,20,0,25.2,95,1009.814
2008,1,11,21,0,25.2,94.9,1009.376
2008,1,11,22,0,25.2,95.1,1009.922
