YEAR,MONTH,DAY,HOUR,MINUTE,wSpeed.60,wDir.98
2008,1,19,11,0,7.892703754,89.9
2008,1,19,12,0,7.795262967,89.9
2008,1,19,13,0,7.532922387,88.9
2008,1,19,14,0,7.360527148,87.2
2008,1,19,15,0,7.300563587,86.4
2008,1,19,16,0,7.083195677,85.7
2008,1,19,17,0,6.828350542,85.5
2008,1,19,18,0,7.083195677,84.4
2008,1,19,19,0,7.030727561,81.9
2008,1,19,20,0,6.918295884,79.4
2008,1,19,21,0,7.030727561,77.7
2008,1,19,22,0,7.083195677,76.2
2008,1,19,23,0,7.420490709,77.3
2008,1,20,0,0,7.615372284,78.7
2008,1,20,1,0,7.570399613,80.4
2008,1,20,2,0,7.480454271,80.9
2008,1,20,3,0,7.457967935,82.1
2008,1,20,4,0,6.670946193,83.5
2008,1,20,5,0,6.730909755,86.2
2008,1,20,6,0,6.7384052,89.2
2008,1,20,7,0,6.895809548,91.5
2008,1,20,8,0,6.925791329,92.8
2008,1,20,9,0,7.2031228,92.7
2008,1,20,10,0,6.948277664,90.6
2008,1,20,11,0,6.940782219,89.1
2008,1,20,12,0,6.813359651,89.3
2008,1,20,13,0,6.745900645,91.5
2008,1,20,14,0,6.775882426,92.8
2008,1,20,15,0,6.251201264,91.6
2008,1,20,16,0,6.026337909,86.8
2008,1,20,17,0,6.018842464,80.9
2008,1,20,18,0,6.236210374,77.3
2008,1,20,19,0,6.595991742,75.8
2008,1,20,20,0,6.783377871,73.2
2008,1,20,21,0,6.933286774,71.4
2008,1,20,22,0,6.498550955,72.5
2008,1,20,23,0,6.528532735,71.2
2008,1,21,0,0,7.015736671,69.6
2008,1,21,1,0,7.060709342,68.9
2008,1,21,2,0,7.120672903,69.4
2008,1,21,3,0,7.330545367,71.4
2008,1,21,4,0,7.502940606,74.6
2008,1,21,5,0,7.69782218,78.6
2008,1,21,6,0,7.383013484,81.5
2008,1,21,7,0,7.150654684,83.2
2008,1,21,8,0,7.46546338,84.7
2008,1,21,9,0,7.517931496,84.2
2008,1,21,10,0,7.517931496,83.7
2008,1,21,11,0,7.645354064,83.4
2008,1,21,12,0,7.495445161,84.4
2008,1,21,13,0,7.315554477,86.8
2008,1,21,14,0,7.293068142,87.9
2008,1,21,15,0,6.610982632,85.1
2008,1,21,16,0,6.640964413,81
2008,1,21,17,0,6.618478077,78.1
2008,1,21,18,0,6.655955303,75.2
2008,1,21,19,0,6.798368761,74.1
2008,1,21,20,0,6.760891535,74.3
2008,1,21,21,0,6.610982632,73
2008,1,21,22,0,6.386119277,73.6
2008,1,21,23,0,6.573505406,73.2
2008,1,22,0,0,6.843341432,71.9
2008,1,22,1,0,6.910800438,71.4
2008,1,22,2,0,7.135663793,72.3
2008,1,22,3,0,7.300563587,73.2
2008,1,22,4,0,7.315554477,74.7
2008,1,22,5,0,6.820855096,77.4
2008,1,22,6,0,6.895809548,81.3
2008,1,22,7,0,6.678441638,85.5
2008,1,22,8,0,6.5060464,85.9
2008,1,22,9,0,6.378623832,84
2008,1,22,10,0,5.501656748,80.6
2008,1,22,11,0,5.464179522,80
2008,1,22,12,0,5.734015548,80.6
2008,1,22,13,0,5.719024658,82.8
2008,1,22,14,0,5.584106645,83.9
2008,1,22,15,0,5.194343497,80.5
2008,1,22,16,0,5.351747845,74.9
2008,1,22,17,0,5.846447226,71.1
2008,1,22,18,0,6.161255922,69.9
2008,1,22,19,0,5.973869793,69.4
2008,1,22,20,0,6.093796916,66
2008,1,22,21,0,6.581000851,62.1
2008,1,22,22,0,7.068204787,64.3
2008,1,22,23,0,7.090691122,66.6
2008,1,23,0,0,7.053213896,69.3
2008,1,23,1,0,7.083195677,73
2008,1,23,2,0,6.843341432,76.3
2008,1,23,3,0,6.835845987,80
2008,1,23,4,0,6.558514516,81.4
2008,1,23,5,0,6.461073729,82.1
2008,1,23,6,0,6.153760477,82.8
2008,1,23,7,0,6.446082838,85.4
2008,1,23,8,0,6.723414309,88.1
2008,1,23,9,0,7.060709342,87.5
2008,1,23,10,0,6.76838698,90
2008,1,23,11,0,6.843341432,91.1
2008,1,23,12,0,6.903304993,92.9
2008,1,23,13,0,6.558514516,92.2
2008,1,23,14,0,6.528532735,90.2
2008,1,23,15,0,6.483560064,88
2008,1,23,16,0,6.708423419,86.4
2008,1,23,17,0,6.573505406,84.7
2008,1,23,18,0,6.348642051,81.1
2008,1,23,19,0,6.618478077,79.1
2008,1,23,20,0,6.723414309,76.1
2008,1,23,21,0,6.775882426,72.9
2008,1,23,22,0,6.446082838,75
2008,1,23,23,0,6.423596503,77.5
2008,1,24,0,0,6.693432529,80.1
2008,1,24,1,0,6.610982632,80.8
2008,1,24,2,0,6.783377871,79.5
2008,1,24,3,0,6.7384052,78.5
2008,1,24,4,0,6.805864206,78.4
2008,1,24,5,0,6.993250335,80.1
2008,1,24,6,0,7.383013484,82.5
2008,1,24,7,0,7.412995264,85.3
2008,1,24,8,0,7.248095471,86.9
2008,1,24,9,0,7.225609135,88.7
2008,1,24,10,0,6.685937084,87
2008,1,24,11,0,6.775882426,87.4
2008,1,24,12,0,6.543523626,88.2
2008,1,24,13,0,6.101292361,87.4
2008,1,24,14,0,6.183742258,86.6
2008,1,24,15,0,6.161255922,84.9
2008,1,24,16,0,6.393614722,82.9
2008,1,24,17,0,6.663450748,80.8
2008,1,24,18,0,6.933286774,80
2008,1,24,19,0,6.940782219,78.5
2008,1,24,20,0,7.150654684,76.8
2008,1,24,21,0,7.398004374,75.8
2008,1,24,22,0,7.038223006,75.5
2008,1,24,23,0,7.180636464,75.8
2008,1,25,0,0,7.4354816,74.8
2008,1,25,1,0,7.480454271,74.5
2008,1,25,2,0,7.502940606,74.6
2008,1,25,3,0,7.4354816,75.3
2008,1,25,4,0,7.300563587,76.2
2008,1,25,5,0,7.315554477,76.1
2008,1,25,6,0,6.805864206,76.4
2008,1,25,7,0,6.895809548,77.7
2008,1,25,8,0,6.993250335,77.3
2008,1,25,9,0,7.053213896,76.6
2008,1,25,10,0,6.75339609,76.7
2008,1,25,11,0,6.730909755,74.6
2008,1,25,12,0,6.858332322,73.7
2008,1,25,13,0,6.670946193,74.2
2008,1,25,14,0,6.453578284,76.4
2008,1,25,15,0,6.356137496,76.4
2008,1,25,16,0,6.483560064,74.9
2008,1,25,17,0,6.715918864,71.2
2008,1,25,18,0,6.663450748,68
2008,1,25,19,0,6.865827767,65.5
2008,1,25,20,0,7.113177458,64
2008,1,25,21,0,7.135663793,63
2008,1,25,22,0,7.068204787,63.7
2008,1,25,23,0,7.188131909,63.3
2008,1,26,0,0,7.210618245,63.8
2008,1,26,1,0,7.330545367,64.3
2008,1,26,2,0,7.240600025,65.5
2008,1,26,3,0,7.225609135,67.3
2008,1,26,4,0,7.038223006,68.9
2008,1,26,5,0,6.888314103,70.6
2008,1,26,6,0,6.783377871,71.9
2008,1,26,7,0,6.670946193,71.8
2008,1,26,8,0,6.52103729,71.5
2008,1,26,9,0,6.610982632,72.7
2008,1,26,10,0,6.003851574,74.4
2008,1,26,11,0,6.221219484,75.9
2008,1,26,12,0,6.011347019,76.9
2008,1,26,13,0,6.168751367,78.8
2008,1,26,14,0,6.2736876,77.7
2008,1,26,15,0,6.251201264,76.6
2008,1,26,16,0,6.078806026,77.9
2008,1,26,17,0,5.898915342,80.1
2008,1,26,18,0,5.546629419,77.1
2008,1,26,19,0,5.37423418,69.9
2008,1,26,20,0,5.426702297,63.2
2008,1,26,21,0,5.726520103,60.9
2008,1,26,22,0,5.666556542,65.5
2008,1,26,23,0,5.763997329,65.9
2008,1,27,0,0,6.05631969,66.6
2008,1,27,1,0,6.243705819,68.1
2008,1,27,2,0,6.05631969,68.9
2008,1,27,3,0,5.996356129,67.6
2008,1,27,4,0,5.973869793,65.5
2008,1,27,5,0,5.928897122,63.8
2008,1,27,6,0,5.973869793,62.8
2008,1,27,7,0,5.921401677,61.2
2008,1,27,8,0,5.973869793,58.8
2008,1,27,9,0,5.816465445,57.9
2008,1,27,10,0,5.599097535,58.3
2008,1,27,11,0,5.336756955,62.8
2008,1,27,12,0,5.156866271,70.1
2008,1,27,13,0,4.999461922,77.9
2008,1,27,14,0,4.857048464,83.3
2008,1,27,15,0,4.857048464,84.2
2008,1,27,16,0,4.729625897,82.5
2008,1,27,17,0,4.714635006,79.2
2008,1,27,18,0,4.887030245,75.5
2008,1,27,19,0,4.961984697,70.7
2008,1,27,20,0,5.089407264,66
2008,1,27,21,0,5.291784284,61.6
2008,1,27,22,0,5.329261509,58.4
2008,1,27,23,0,5.501656748,56.7
2008,1,28,0,0,5.763997329,56.2
2008,1,28,1,0,6.146265032,56.2
2008,1,28,2,0,6.206228593,56.9
2008,1,28,3,0,6.093796916,60.2
2008,1,28,4,0,5.936392567,65
2008,1,28,5,0,5.614088426,69.1
2008,1,28,6,0,5.306775174,70.8
2008,1,28,7,0,5.156866271,70.6
2008,1,28,8,0,4.976975587,73.3
2008,1,28,9,0,4.842057574,77.2
2008,1,28,10,0,4.752112232,76.9
2008,1,28,11,0,4.632185109,78.8
2008,1,28,12,0,4.534744322,82.4
2008,1,28,13,0,4.617194219,87.9
2008,1,28,14,0,4.774598568,94.1
2008,1,28,15,0,4.767103122,98.1
2008,1,28,16,0,4.519753432,99
2008,1,28,17,0,4.287394632,96
2008,1,28,18,0,4.077522168,92.3
2008,1,28,19,0,3.867649703,86.2
2008,1,28,20,0,3.635290903,74.2
2008,1,28,21,0,3.672768129,57.1
2008,1,28,22,0,4.092513058,44.8
2008,1,28,23,0,4.587212439,35.3
